Value,Percentile,TotalCount,1/(1-Percentile)
4.195,0.000000,1,1.00
4.851,0.100000,64,1.11
4.987,0.200000,127,1.25
5.103,0.300000,191,1.43
5.207,0.400000,254,1.67
5.331,0.500000,320,2.00
5.371,0.550000,351,2.22
5.439,0.600000,385,2.50
5.511,0.650000,414,2.86
5.615,0.700000,445,3.33
5.739,0.750000,477,4.00
5.799,0.775000,493,4.44
5.883,0.800000,509,5.00
5.983,0.825000,524,5.71
6.039,0.850000,540,6.67
6.203,0.875000,556,8.00
6.387,0.887500,564,8.89
6.795,0.900000,572,10.00
7.099,0.912500,580,11.43
7.411,0.925000,588,13.33
7.515,0.937500,596,16.00
7.611,0.943750,600,17.78
7.639,0.950000,604,20.00
7.727,0.956250,608,22.86
7.887,0.962500,612,26.67
7.955,0.968750,616,32.00
8.035,0.971875,618,35.56
8.131,0.975000,620,40.00
8.231,0.978125,622,45.71
8.279,0.981250,624,53.33
8.751,0.984375,626,64.00
9.127,0.985938,627,71.11
9.143,0.987500,628,80.00
9.175,0.989062,629,91.43
10.047,0.990625,630,106.67
10.079,0.992188,631,128.00
10.079,0.992969,631,142.22
13.567,0.993750,632,160.00
13.567,0.994531,632,182.86
14.199,0.995313,633,213.33
14.199,0.996094,633,256.00
14.199,0.996484,633,284.44
15.207,0.996875,634,320.00
15.207,0.997266,634,365.71
15.207,0.997656,634,426.67
15.207,0.998047,634,512.00
15.207,0.998242,634,568.89
22.591,0.998437,635,640.00
22.591,1.000000,635,inf
