Value,Percentile,TotalCount,1/(1-Percentile)
1.632,0.000000,1,1.00
2.771,0.100000,44,1.11
2.935,0.200000,88,1.25
3.905,0.300000,133,1.43
4.735,0.400000,176,1.67
5.155,0.500000,220,2.00
5.319,0.550000,243,2.22
5.459,0.600000,265,2.50
5.875,0.650000,286,2.86
8.823,0.700000,308,3.33
9.903,0.750000,331,4.00
10.231,0.775000,341,4.44
10.871,0.800000,352,5.00
11.535,0.825000,363,5.71
12.399,0.850000,374,6.67
13.367,0.875000,385,8.00
13.655,0.887500,391,8.89
14.199,0.900000,396,10.00
14.863,0.912500,402,11.43
15.239,0.925000,407,13.33
17.199,0.937500,413,16.00
17.535,0.943750,416,17.78
17.919,0.950000,418,20.00
18.639,0.956250,421,22.86
18.927,0.962500,424,26.67
20.255,0.968750,427,32.00
20.703,0.971875,428,35.56
21.999,0.975000,429,40.00
22.207,0.978125,431,45.71
23.327,0.981250,432,53.33
24.015,0.984375,434,64.00
24.015,0.985938,434,71.11
24.591,0.987500,435,80.00
25.183,0.989062,436,91.43
25.183,0.990625,436,106.67
30.351,0.992188,437,128.00
30.351,0.992969,437,142.22
66.943,0.993750,438,160.00
66.943,0.994531,438,182.86
66.943,0.995313,438,213.33
81.343,0.996094,439,256.00
81.343,0.996484,439,284.44
81.343,0.996875,439,320.00
81.343,0.997266,439,365.71
81.343,0.997656,439,426.67
88.575,0.998047,440,512.00
88.575,1.000000,440,inf
