Value,Percentile,TotalCount,1/(1-Percentile)
1.897,0.000000,1,1.00
3.299,0.100000,44,1.11
3.997,0.200000,88,1.25
5.031,0.300000,132,1.43
6.047,0.400000,176,1.67
6.807,0.500000,220,2.00
7.063,0.550000,242,2.22
7.519,0.600000,264,2.50
8.351,0.650000,286,2.86
10.223,0.700000,308,3.33
11.743,0.750000,330,4.00
12.159,0.775000,341,4.44
13.095,0.800000,352,5.00
14.351,0.825000,363,5.71
17.423,0.850000,374,6.67
19.935,0.875000,385,8.00
21.903,0.887500,391,8.89
24.351,0.900000,396,10.00
27.519,0.912500,402,11.43
29.855,0.925000,407,13.33
31.407,0.937500,413,16.00
32.511,0.943750,416,17.78
34.783,0.950000,418,20.00
36.031,0.956250,421,22.86
37.471,0.962500,424,26.67
40.895,0.968750,427,32.00
41.023,0.971875,428,35.56
41.375,0.975000,429,40.00
42.847,0.978125,431,45.71
44.319,0.981250,432,53.33
44.511,0.984375,434,64.00
44.511,0.985938,434,71.11
55.743,0.987500,435,80.00
59.487,0.989062,436,91.43
59.487,0.990625,436,106.67
60.703,0.992188,437,128.00
60.703,0.992969,437,142.22
65.151,0.993750,438,160.00
65.151,0.994531,438,182.86
65.151,0.995313,438,213.33
73.535,0.996094,439,256.00
73.535,0.996484,439,284.44
73.535,0.996875,439,320.00
73.535,0.997266,439,365.71
73.535,0.997656,439,426.67
120.831,0.998047,440,512.00
120.831,1.000000,440,inf
