Value,Percentile,TotalCount,1/(1-Percentile)
1.469,0.000000,1,1.00
2.413,0.100000,44,1.11
2.595,0.200000,88,1.25
3.387,0.300000,132,1.43
4.073,0.400000,176,1.67
4.411,0.500000,220,2.00
4.539,0.550000,242,2.22
4.647,0.600000,264,2.50
4.755,0.650000,287,2.86
5.279,0.700000,308,3.33
7.523,0.750000,330,4.00
8.207,0.775000,341,4.44
8.551,0.800000,352,5.00
8.831,0.825000,363,5.71
9.223,0.850000,374,6.67
10.071,0.875000,385,8.00
10.671,0.887500,391,8.89
10.791,0.900000,396,10.00
11.151,0.912500,402,11.43
11.511,0.925000,407,13.33
12.215,0.937500,413,16.00
12.871,0.943750,416,17.78
13.191,0.950000,418,20.00
13.343,0.956250,421,22.86
14.879,0.962500,424,26.67
15.335,0.968750,427,32.00
15.375,0.971875,428,35.56
15.655,0.975000,429,40.00
17.023,0.978125,431,45.71
17.519,0.981250,432,53.33
17.935,0.984375,434,64.00
17.935,0.985938,434,71.11
18.015,0.987500,435,80.00
18.063,0.989062,436,91.43
18.063,0.990625,436,106.67
18.095,0.992188,437,128.00
18.095,0.992969,437,142.22
18.223,0.993750,438,160.00
18.223,0.994531,438,182.86
18.223,0.995313,438,213.33
18.591,0.996094,439,256.00
18.591,0.996484,439,284.44
18.591,0.996875,439,320.00
18.591,0.997266,439,365.71
18.591,0.997656,439,426.67
21.503,0.998047,440,512.00
21.503,1.000000,440,inf
