Value,Percentile,TotalCount,1/(1-Percentile)
2.537,0.000000,1,1.00
3.557,0.100000,44,1.11
4.143,0.200000,88,1.25
5.079,0.300000,132,1.43
6.839,0.400000,176,1.67
7.915,0.500000,220,2.00
8.727,0.550000,242,2.22
9.159,0.600000,264,2.50
11.167,0.650000,286,2.86
15.047,0.700000,308,3.33
19.471,0.750000,330,4.00
22.079,0.775000,341,4.44
24.287,0.800000,352,5.00
26.159,0.825000,363,5.71
29.279,0.850000,375,6.67
32.415,0.875000,386,8.00
33.439,0.887500,391,8.89
36.511,0.900000,396,10.00
38.399,0.912500,402,11.43
41.087,0.925000,407,13.33
46.559,0.937500,413,16.00
48.223,0.943750,416,17.78
49.951,0.950000,418,20.00
52.479,0.956250,421,22.86
57.279,0.962500,424,26.67
59.647,0.968750,427,32.00
64.479,0.971875,428,35.56
65.183,0.975000,429,40.00
73.215,0.978125,431,45.71
79.231,0.981250,432,53.33
86.335,0.984375,434,64.00
86.335,0.985938,434,71.11
89.663,0.987500,435,80.00
104.127,0.989062,436,91.43
104.127,0.990625,436,106.67
111.423,0.992188,437,128.00
111.423,0.992969,437,142.22
116.607,0.993750,438,160.00
116.607,0.994531,438,182.86
116.607,0.995313,438,213.33
153.087,0.996094,439,256.00
153.087,0.996484,439,284.44
153.087,0.996875,439,320.00
153.087,0.997266,439,365.71
153.087,0.997656,439,426.67
220.287,0.998047,440,512.00
220.287,1.000000,440,inf
