Value,Percentile,TotalCount,1/(1-Percentile)
1.628,0.000000,1,1.00
3.393,0.100000,44,1.11
3.841,0.200000,88,1.25
4.955,0.300000,132,1.43
6.095,0.400000,176,1.67
7.383,0.500000,220,2.00
7.731,0.550000,242,2.22
8.027,0.600000,264,2.50
8.415,0.650000,287,2.86
10.647,0.700000,308,3.33
13.335,0.750000,330,4.00
14.655,0.775000,341,4.44
16.575,0.800000,352,5.00
17.423,0.825000,363,5.71
18.015,0.850000,374,6.67
19.167,0.875000,385,8.00
19.919,0.887500,391,8.89
20.975,0.900000,396,10.00
21.631,0.912500,402,11.43
22.159,0.925000,407,13.33
24.079,0.937500,413,16.00
25.167,0.943750,416,17.78
26.063,0.950000,418,20.00
27.615,0.956250,421,22.86
28.431,0.962500,424,26.67
28.959,0.968750,427,32.00
29.103,0.971875,428,35.56
29.343,0.975000,429,40.00
31.087,0.978125,431,45.71
32.799,0.981250,432,53.33
36.671,0.984375,434,64.00
36.671,0.985938,434,71.11
38.879,0.987500,435,80.00
39.263,0.989062,436,91.43
39.263,0.990625,436,106.67
42.079,0.992188,437,128.00
42.079,0.992969,437,142.22
43.167,0.993750,438,160.00
43.167,0.994531,438,182.86
43.167,0.995313,438,213.33
44.639,0.996094,439,256.00
44.639,0.996484,439,284.44
44.639,0.996875,439,320.00
44.639,0.997266,439,365.71
44.639,0.997656,439,426.67
49.343,0.998047,440,512.00
49.343,1.000000,440,inf
