Value,Percentile,TotalCount,1/(1-Percentile)
2.173,0.000000,1,1.00
3.629,0.100000,44,1.11
4.187,0.200000,88,1.25
5.043,0.300000,132,1.43
6.599,0.400000,176,1.67
7.227,0.500000,221,2.00
7.603,0.550000,243,2.22
8.067,0.600000,264,2.50
8.975,0.650000,286,2.86
10.999,0.700000,308,3.33
13.047,0.750000,330,4.00
13.607,0.775000,341,4.44
14.471,0.800000,352,5.00
15.287,0.825000,364,5.71
16.671,0.850000,374,6.67
19.647,0.875000,385,8.00
20.367,0.887500,391,8.89
22.815,0.900000,396,10.00
24.047,0.912500,402,11.43
26.799,0.925000,407,13.33
28.527,0.937500,413,16.00
29.247,0.943750,416,17.78
32.351,0.950000,418,20.00
33.983,0.956250,421,22.86
35.999,0.962500,424,26.67
36.607,0.968750,427,32.00
37.535,0.971875,428,35.56
38.015,0.975000,429,40.00
43.359,0.978125,431,45.71
45.247,0.981250,432,53.33
48.895,0.984375,434,64.00
48.895,0.985938,434,71.11
51.199,0.987500,435,80.00
55.103,0.989062,436,91.43
55.103,0.990625,436,106.67
67.263,0.992188,437,128.00
67.263,0.992969,437,142.22
92.287,0.993750,438,160.00
92.287,0.994531,438,182.86
92.287,0.995313,438,213.33
130.879,0.996094,439,256.00
130.879,0.996484,439,284.44
130.879,0.996875,439,320.00
130.879,0.997266,439,365.71
130.879,0.997656,439,426.67
169.599,0.998047,440,512.00
169.599,1.000000,440,inf
