Value,Percentile,TotalCount,1/(1-Percentile)
1.601,0.000000,1,1.00
3.725,0.100000,44,1.11
4.335,0.200000,88,1.25
5.167,0.300000,132,1.43
6.563,0.400000,176,1.67
7.847,0.500000,220,2.00
8.447,0.550000,242,2.22
9.255,0.600000,264,2.50
12.111,0.650000,286,2.86
17.087,0.700000,308,3.33
23.791,0.750000,330,4.00
26.015,0.775000,341,4.44
29.407,0.800000,352,5.00
31.663,0.825000,363,5.71
33.343,0.850000,374,6.67
34.911,0.875000,385,8.00
35.615,0.887500,391,8.89
37.695,0.900000,396,10.00
39.423,0.912500,402,11.43
41.919,0.925000,407,13.33
43.231,0.937500,413,16.00
44.767,0.943750,416,17.78
45.631,0.950000,419,20.00
46.847,0.956250,421,22.86
48.127,0.962500,424,26.67
50.207,0.968750,427,32.00
50.335,0.971875,428,35.56
55.199,0.975000,429,40.00
59.967,0.978125,431,45.71
60.063,0.981250,432,53.33
61.823,0.984375,434,64.00
61.823,0.985938,434,71.11
63.647,0.987500,435,80.00
67.199,0.989062,436,91.43
67.199,0.990625,436,106.67
75.391,0.992188,437,128.00
75.391,0.992969,437,142.22
77.631,0.993750,438,160.00
77.631,0.994531,438,182.86
77.631,0.995313,438,213.33
91.263,0.996094,439,256.00
91.263,0.996484,439,284.44
91.263,0.996875,439,320.00
91.263,0.997266,439,365.71
91.263,0.997656,439,426.67
136.831,0.998047,440,512.00
136.831,1.000000,440,inf
