Value,Percentile,TotalCount,1/(1-Percentile)
2.211,0.000000,1,1.00
3.763,0.100000,44,1.11
4.371,0.200000,89,1.25
5.235,0.300000,132,1.43
6.715,0.400000,176,1.67
7.691,0.500000,220,2.00
8.155,0.550000,242,2.22
9.055,0.600000,265,2.50
9.583,0.650000,286,2.86
12.439,0.700000,308,3.33
15.367,0.750000,330,4.00
18.863,0.775000,341,4.44
22.511,0.800000,352,5.00
25.295,0.825000,363,5.71
27.215,0.850000,374,6.67
32.287,0.875000,385,8.00
34.847,0.887500,391,8.89
35.071,0.900000,396,10.00
36.799,0.912500,402,11.43
40.095,0.925000,407,13.33
43.007,0.937500,413,16.00
45.151,0.943750,416,17.78
49.311,0.950000,418,20.00
50.463,0.956250,421,22.86
51.807,0.962500,424,26.67
55.039,0.968750,428,32.00
55.039,0.971875,428,35.56
55.167,0.975000,429,40.00
58.239,0.978125,431,45.71
59.551,0.981250,432,53.33
70.975,0.984375,434,64.00
70.975,0.985938,434,71.11
71.679,0.987500,435,80.00
88.703,0.989062,436,91.43
88.703,0.990625,436,106.67
91.519,0.992188,437,128.00
91.519,0.992969,437,142.22
157.439,0.993750,438,160.00
157.439,0.994531,438,182.86
157.439,0.995313,438,213.33
218.879,0.996094,439,256.00
218.879,0.996484,439,284.44
218.879,0.996875,439,320.00
218.879,0.997266,439,365.71
218.879,0.997656,439,426.67
265.215,0.998047,440,512.00
265.215,1.000000,440,inf
