Value,Percentile,TotalCount,1/(1-Percentile)
3.809,0.000000,1,1.00
4.459,0.100000,64,1.11
4.767,0.200000,127,1.25
4.923,0.300000,192,1.43
5.019,0.400000,254,1.67
5.111,0.500000,318,2.00
5.143,0.550000,350,2.22
5.199,0.600000,382,2.50
5.247,0.650000,413,2.86
5.307,0.700000,445,3.33
5.383,0.750000,477,4.00
5.431,0.775000,493,4.44
5.475,0.800000,508,5.00
5.515,0.825000,524,5.71
5.627,0.850000,540,6.67
5.723,0.875000,558,8.00
5.783,0.887500,564,8.89
5.887,0.900000,572,10.00
6.075,0.912500,580,11.43
6.527,0.925000,588,13.33
6.979,0.937500,596,16.00
7.107,0.943750,600,17.78
7.327,0.950000,604,20.00
7.399,0.956250,608,22.86
7.463,0.962500,612,26.67
7.539,0.968750,616,32.00
7.575,0.971875,618,35.56
7.583,0.975000,620,40.00
7.631,0.978125,622,45.71
7.663,0.981250,624,53.33
7.807,0.984375,626,64.00
7.815,0.985938,627,71.11
7.911,0.987500,628,80.00
7.923,0.989062,629,91.43
7.939,0.990625,630,106.67
8.207,0.992188,631,128.00
8.207,0.992969,631,142.22
8.223,0.993750,632,160.00
8.223,0.994531,632,182.86
8.335,0.995313,633,213.33
8.335,0.996094,633,256.00
8.335,0.996484,633,284.44
8.407,0.996875,634,320.00
8.407,0.997266,634,365.71
8.407,0.997656,634,426.67
8.407,0.998047,634,512.00
8.407,0.998242,634,568.89
8.631,0.998437,635,640.00
8.631,1.000000,635,inf
