Value,Percentile,TotalCount,1/(1-Percentile)
1.543,0.000000,1,1.00
2.959,0.100000,44,1.11
3.223,0.200000,88,1.25
3.853,0.300000,132,1.43
5.067,0.400000,176,1.67
5.943,0.500000,220,2.00
6.231,0.550000,242,2.22
6.487,0.600000,264,2.50
7.187,0.650000,286,2.86
9.015,0.700000,308,3.33
12.119,0.750000,330,4.00
13.095,0.775000,342,4.44
14.223,0.800000,352,5.00
15.135,0.825000,363,5.71
16.191,0.850000,374,6.67
17.935,0.875000,385,8.00
18.415,0.887500,391,8.89
18.671,0.900000,396,10.00
19.103,0.912500,402,11.43
20.799,0.925000,407,13.33
23.887,0.937500,413,16.00
24.415,0.943750,416,17.78
24.607,0.950000,418,20.00
25.983,0.956250,421,22.86
26.495,0.962500,424,26.67
27.807,0.968750,427,32.00
28.015,0.971875,428,35.56
28.383,0.975000,429,40.00
29.935,0.978125,431,45.71
30.463,0.981250,432,53.33
30.959,0.984375,434,64.00
30.959,0.985938,434,71.11
30.991,0.987500,435,80.00
32.271,0.989062,436,91.43
32.271,0.990625,436,106.67
33.151,0.992188,437,128.00
33.151,0.992969,437,142.22
37.311,0.993750,438,160.00
37.311,0.994531,438,182.86
37.311,0.995313,438,213.33
39.583,0.996094,439,256.00
39.583,0.996484,439,284.44
39.583,0.996875,439,320.00
39.583,0.997266,439,365.71
39.583,0.997656,439,426.67
40.255,0.998047,440,512.00
40.255,1.000000,440,inf
