Value,Percentile,TotalCount,1/(1-Percentile)
1.717,0.000000,1,1.00
3.741,0.100000,44,1.11
4.303,0.200000,89,1.25
5.567,0.300000,132,1.43
7.831,0.400000,176,1.67
9.399,0.500000,220,2.00
10.039,0.550000,242,2.22
11.015,0.600000,265,2.50
14.103,0.650000,286,2.86
17.711,0.700000,308,3.33
19.935,0.750000,330,4.00
21.215,0.775000,341,4.44
21.983,0.800000,352,5.00
23.327,0.825000,363,5.71
24.879,0.850000,374,6.67
25.967,0.875000,385,8.00
27.471,0.887500,391,8.89
28.079,0.900000,396,10.00
29.855,0.912500,402,11.43
31.407,0.925000,407,13.33
33.215,0.937500,413,16.00
34.623,0.943750,416,17.78
35.999,0.950000,418,20.00
36.735,0.956250,421,22.86
38.719,0.962500,425,26.67
39.551,0.968750,427,32.00
40.031,0.971875,428,35.56
40.479,0.975000,429,40.00
42.943,0.978125,431,45.71
45.343,0.981250,432,53.33
49.567,0.984375,434,64.00
49.567,0.985938,434,71.11
51.103,0.987500,435,80.00
53.343,0.989062,436,91.43
53.343,0.990625,436,106.67
54.943,0.992188,437,128.00
54.943,0.992969,437,142.22
57.887,0.993750,438,160.00
57.887,0.994531,438,182.86
57.887,0.995313,438,213.33
73.727,0.996094,439,256.00
73.727,0.996484,439,284.44
73.727,0.996875,439,320.00
73.727,0.997266,439,365.71
73.727,0.997656,439,426.67
134.783,0.998047,440,512.00
134.783,1.000000,440,inf
