Value,Percentile,TotalCount,1/(1-Percentile)
1.476,0.000000,1,1.00
2.629,0.100000,44,1.11
2.791,0.200000,89,1.25
3.641,0.300000,132,1.43
4.719,0.400000,177,1.67
5.015,0.500000,220,2.00
5.099,0.550000,242,2.22
5.239,0.600000,265,2.50
5.615,0.650000,286,2.86
8.175,0.700000,308,3.33
9.103,0.750000,330,4.00
9.599,0.775000,341,4.44
10.071,0.800000,352,5.00
10.647,0.825000,363,5.71
11.695,0.850000,374,6.67
12.439,0.875000,385,8.00
13.023,0.887500,391,8.89
13.791,0.900000,396,10.00
14.951,0.912500,402,11.43
15.863,0.925000,407,13.33
16.639,0.937500,413,16.00
16.799,0.943750,416,17.78
17.343,0.950000,418,20.00
17.583,0.956250,421,22.86
18.367,0.962500,424,26.67
18.655,0.968750,427,32.00
18.767,0.971875,429,35.56
18.767,0.975000,429,40.00
19.711,0.978125,431,45.71
20.719,0.981250,432,53.33
20.879,0.984375,434,64.00
20.879,0.985938,434,71.11
21.295,0.987500,435,80.00
21.343,0.989062,436,91.43
21.343,0.990625,436,106.67
21.695,0.992188,437,128.00
21.695,0.992969,437,142.22
22.991,0.993750,438,160.00
22.991,0.994531,438,182.86
22.991,0.995313,438,213.33
47.967,0.996094,439,256.00
47.967,0.996484,439,284.44
47.967,0.996875,439,320.00
47.967,0.997266,439,365.71
47.967,0.997656,439,426.67
81.855,0.998047,440,512.00
81.855,1.000000,440,inf
