Value,Percentile,TotalCount,1/(1-Percentile)
3.649,0.000000,1,1.00
4.255,0.100000,65,1.11
4.351,0.200000,128,1.25
4.423,0.300000,193,1.43
4.499,0.400000,258,1.67
4.559,0.500000,320,2.00
4.587,0.550000,352,2.22
4.639,0.600000,384,2.50
4.675,0.650000,413,2.86
4.747,0.700000,446,3.33
4.831,0.750000,478,4.00
4.867,0.775000,493,4.44
4.923,0.800000,508,5.00
4.963,0.825000,524,5.71
5.039,0.850000,540,6.67
5.123,0.875000,556,8.00
5.171,0.887500,564,8.89
5.283,0.900000,572,10.00
5.731,0.912500,580,11.43
6.123,0.925000,588,13.33
6.399,0.937500,596,16.00
6.463,0.943750,600,17.78
6.523,0.950000,604,20.00
6.607,0.956250,609,22.86
6.699,0.962500,612,26.67
6.815,0.968750,616,32.00
6.831,0.971875,618,35.56
6.847,0.975000,620,40.00
6.883,0.978125,623,45.71
6.899,0.981250,625,53.33
6.979,0.984375,626,64.00
6.987,0.985938,627,71.11
6.991,0.987500,628,80.00
7.023,0.989062,629,91.43
7.087,0.990625,630,106.67
7.207,0.992188,631,128.00
7.207,0.992969,631,142.22
7.259,0.993750,632,160.00
7.259,0.994531,632,182.86
7.463,0.995313,633,213.33
7.463,0.996094,633,256.00
7.463,0.996484,633,284.44
7.511,0.996875,634,320.00
7.511,0.997266,634,365.71
7.511,0.997656,634,426.67
7.511,0.998047,634,512.00
7.511,0.998242,634,568.89
8.103,0.998437,635,640.00
8.103,1.000000,635,inf
