Value,Percentile,TotalCount,1/(1-Percentile)
3.717,0.000000,1,1.00
4.847,0.100000,64,1.11
5.019,0.200000,127,1.25
5.091,0.300000,192,1.43
5.155,0.400000,254,1.67
5.231,0.500000,320,2.00
5.263,0.550000,350,2.22
5.323,0.600000,382,2.50
5.399,0.650000,414,2.86
5.463,0.700000,447,3.33
5.539,0.750000,478,4.00
5.567,0.775000,494,4.44
5.631,0.800000,508,5.00
5.699,0.825000,524,5.71
5.763,0.850000,542,6.67
5.879,0.875000,556,8.00
5.943,0.887500,564,8.89
6.087,0.900000,572,10.00
6.355,0.912500,581,11.43
7.095,0.925000,588,13.33
7.291,0.937500,596,16.00
7.403,0.943750,600,17.78
7.447,0.950000,604,20.00
7.467,0.956250,608,22.86
7.559,0.962500,612,26.67
7.635,0.968750,616,32.00
7.683,0.971875,618,35.56
7.751,0.975000,620,40.00
7.759,0.978125,622,45.71
7.799,0.981250,624,53.33
7.843,0.984375,626,64.00
7.871,0.985938,627,71.11
7.875,0.987500,628,80.00
7.943,0.989062,629,91.43
8.007,0.990625,630,106.67
8.011,0.992188,631,128.00
8.011,0.992969,631,142.22
8.359,0.993750,632,160.00
8.359,0.994531,632,182.86
8.727,0.995313,633,213.33
8.727,0.996094,633,256.00
8.727,0.996484,633,284.44
9.879,0.996875,634,320.00
9.879,0.997266,634,365.71
9.879,0.997656,634,426.67
9.879,0.998047,634,512.00
9.879,0.998242,634,568.89
10.079,0.998437,635,640.00
10.079,1.000000,635,inf
