Value,Percentile,TotalCount,1/(1-Percentile)
2.365,0.000000,1,1.00
3.795,0.100000,44,1.11
4.655,0.200000,88,1.25
6.139,0.300000,132,1.43
8.295,0.400000,176,1.67
9.359,0.500000,221,2.00
9.991,0.550000,242,2.22
10.799,0.600000,264,2.50
13.743,0.650000,286,2.86
17.103,0.700000,309,3.33
19.903,0.750000,330,4.00
20.527,0.775000,341,4.44
21.775,0.800000,352,5.00
23.023,0.825000,363,5.71
24.527,0.850000,374,6.67
26.095,0.875000,385,8.00
26.671,0.887500,391,8.89
27.791,0.900000,396,10.00
30.575,0.912500,402,11.43
31.455,0.925000,407,13.33
33.471,0.937500,413,16.00
33.983,0.943750,416,17.78
35.103,0.950000,418,20.00
36.159,0.956250,421,22.86
36.799,0.962500,424,26.67
37.823,0.968750,427,32.00
38.015,0.971875,428,35.56
38.111,0.975000,429,40.00
40.287,0.978125,432,45.71
40.287,0.981250,432,53.33
47.679,0.984375,434,64.00
47.679,0.985938,434,71.11
48.863,0.987500,435,80.00
48.991,0.989062,436,91.43
48.991,0.990625,436,106.67
52.575,0.992188,437,128.00
52.575,0.992969,437,142.22
53.023,0.993750,438,160.00
53.023,0.994531,438,182.86
53.023,0.995313,438,213.33
61.951,0.996094,439,256.00
61.951,0.996484,439,284.44
61.951,0.996875,439,320.00
61.951,0.997266,439,365.71
61.951,0.997656,439,426.67
104.511,0.998047,440,512.00
104.511,1.000000,440,inf
