Value,Percentile,TotalCount,1/(1-Percentile)
3.907,0.000000,1,1.00
4.843,0.100000,64,1.11
5.023,0.200000,127,1.25
5.103,0.300000,192,1.43
5.187,0.400000,255,1.67
5.263,0.500000,318,2.00
5.299,0.550000,352,2.22
5.355,0.600000,382,2.50
5.431,0.650000,413,2.86
5.495,0.700000,445,3.33
5.583,0.750000,478,4.00
5.623,0.775000,494,4.44
5.683,0.800000,510,5.00
5.723,0.825000,525,5.71
5.787,0.850000,542,6.67
5.891,0.875000,556,8.00
6.051,0.887500,564,8.89
6.099,0.900000,572,10.00
6.343,0.912500,580,11.43
7.259,0.925000,588,13.33
7.371,0.937500,596,16.00
7.423,0.943750,600,17.78
7.487,0.950000,604,20.00
7.539,0.956250,608,22.86
7.607,0.962500,612,26.67
7.631,0.968750,616,32.00
7.659,0.971875,618,35.56
7.747,0.975000,620,40.00
7.767,0.978125,622,45.71
7.835,0.981250,624,53.33
7.879,0.984375,626,64.00
7.907,0.985938,627,71.11
7.935,0.987500,628,80.00
7.967,0.989062,629,91.43
7.979,0.990625,630,106.67
8.091,0.992188,631,128.00
8.091,0.992969,631,142.22
8.327,0.993750,632,160.00
8.327,0.994531,632,182.86
9.119,0.995313,633,213.33
9.119,0.996094,633,256.00
9.119,0.996484,633,284.44
9.815,0.996875,634,320.00
9.815,0.997266,634,365.71
9.815,0.997656,634,426.67
9.815,0.998047,634,512.00
9.815,0.998242,634,568.89
9.911,0.998437,635,640.00
9.911,1.000000,635,inf
