Value,Percentile,TotalCount,1/(1-Percentile)
1.955,0.000000,1,1.00
3.409,0.100000,44,1.11
3.879,0.200000,88,1.25
4.731,0.300000,132,1.43
6.083,0.400000,176,1.67
7.083,0.500000,220,2.00
7.635,0.550000,242,2.22
8.503,0.600000,264,2.50
9.855,0.650000,286,2.86
11.607,0.700000,308,3.33
13.759,0.750000,330,4.00
15.855,0.775000,341,4.44
18.303,0.800000,352,5.00
23.807,0.825000,363,5.71
26.495,0.850000,374,6.67
30.495,0.875000,385,8.00
32.527,0.887500,391,8.89
34.495,0.900000,396,10.00
35.839,0.912500,402,11.43
38.303,0.925000,407,13.33
40.479,0.937500,413,16.00
41.759,0.943750,416,17.78
42.623,0.950000,418,20.00
43.743,0.956250,421,22.86
44.799,0.962500,425,26.67
45.439,0.968750,427,32.00
47.615,0.971875,428,35.56
49.791,0.975000,429,40.00
52.511,0.978125,431,45.71
53.823,0.981250,432,53.33
55.839,0.984375,434,64.00
55.839,0.985938,434,71.11
57.407,0.987500,435,80.00
61.119,0.989062,436,91.43
61.119,0.990625,436,106.67
63.359,0.992188,437,128.00
63.359,0.992969,437,142.22
68.799,0.993750,438,160.00
68.799,0.994531,438,182.86
68.799,0.995313,438,213.33
85.375,0.996094,439,256.00
85.375,0.996484,439,284.44
85.375,0.996875,439,320.00
85.375,0.997266,439,365.71
85.375,0.997656,439,426.67
144.511,0.998047,440,512.00
144.511,1.000000,440,inf
