Value,Percentile,TotalCount,1/(1-Percentile)
2.343,0.000000,1,1.00
3.477,0.100000,44,1.11
4.033,0.200000,88,1.25
4.899,0.300000,132,1.43
5.923,0.400000,176,1.67
6.711,0.500000,221,2.00
7.087,0.550000,243,2.22
7.611,0.600000,264,2.50
8.591,0.650000,286,2.86
10.079,0.700000,308,3.33
12.199,0.750000,330,4.00
12.935,0.775000,341,4.44
13.983,0.800000,352,5.00
15.559,0.825000,363,5.71
18.607,0.850000,374,6.67
22.751,0.875000,385,8.00
24.863,0.887500,391,8.89
26.847,0.900000,396,10.00
29.007,0.912500,402,11.43
31.695,0.925000,407,13.33
34.175,0.937500,413,16.00
37.151,0.943750,416,17.78
37.567,0.950000,418,20.00
40.287,0.956250,421,22.86
42.175,0.962500,424,26.67
45.663,0.968750,427,32.00
46.431,0.971875,428,35.56
47.263,0.975000,429,40.00
50.335,0.978125,431,45.71
55.487,0.981250,432,53.33
63.999,0.984375,434,64.00
63.999,0.985938,434,71.11
64.703,0.987500,435,80.00
66.047,0.989062,436,91.43
66.047,0.990625,436,106.67
71.871,0.992188,437,128.00
71.871,0.992969,437,142.22
84.991,0.993750,438,160.00
84.991,0.994531,438,182.86
84.991,0.995313,438,213.33
186.751,0.996094,439,256.00
186.751,0.996484,439,284.44
186.751,0.996875,439,320.00
186.751,0.997266,439,365.71
186.751,0.997656,439,426.67
265.215,0.998047,440,512.00
265.215,1.000000,440,inf
