Value,Percentile,TotalCount,1/(1-Percentile)
2.435,0.000000,1,1.00
3.459,0.100000,44,1.11
4.059,0.200000,88,1.25
5.011,0.300000,132,1.43
6.607,0.400000,176,1.67
7.403,0.500000,220,2.00
7.927,0.550000,242,2.22
8.687,0.600000,264,2.50
10.103,0.650000,286,2.86
12.095,0.700000,308,3.33
15.399,0.750000,330,4.00
18.863,0.775000,341,4.44
22.079,0.800000,352,5.00
25.007,0.825000,363,5.71
29.055,0.850000,374,6.67
31.583,0.875000,385,8.00
32.959,0.887500,391,8.89
34.687,0.900000,397,10.00
35.935,0.912500,402,11.43
38.431,0.925000,407,13.33
39.679,0.937500,413,16.00
40.895,0.943750,416,17.78
42.111,0.950000,418,20.00
44.575,0.956250,421,22.86
45.823,0.962500,424,26.67
47.519,0.968750,427,32.00
48.127,0.971875,428,35.56
48.895,0.975000,429,40.00
50.399,0.978125,431,45.71
50.495,0.981250,432,53.33
56.799,0.984375,434,64.00
56.799,0.985938,434,71.11
57.119,0.987500,435,80.00
60.415,0.989062,436,91.43
60.415,0.990625,436,106.67
62.463,0.992188,437,128.00
62.463,0.992969,437,142.22
68.415,0.993750,438,160.00
68.415,0.994531,438,182.86
68.415,0.995313,438,213.33
84.415,0.996094,439,256.00
84.415,0.996484,439,284.44
84.415,0.996875,439,320.00
84.415,0.997266,439,365.71
84.415,0.997656,439,426.67
148.351,0.998047,440,512.00
148.351,1.000000,440,inf
