Value,Percentile,TotalCount,1/(1-Percentile)
1.750,0.000000,1,1.00
3.135,0.100000,44,1.11
3.531,0.200000,88,1.25
4.695,0.300000,132,1.43
5.619,0.400000,176,1.67
6.079,0.500000,220,2.00
6.271,0.550000,242,2.22
6.579,0.600000,265,2.50
6.987,0.650000,286,2.86
10.271,0.700000,308,3.33
11.415,0.750000,330,4.00
11.895,0.775000,341,4.44
12.639,0.800000,352,5.00
13.239,0.825000,363,5.71
14.207,0.850000,374,6.67
15.487,0.875000,385,8.00
16.095,0.887500,391,8.89
16.735,0.900000,396,10.00
17.759,0.912500,402,11.43
18.943,0.925000,407,13.33
19.679,0.937500,413,16.00
20.111,0.943750,416,17.78
20.687,0.950000,419,20.00
20.783,0.956250,421,22.86
21.903,0.962500,424,26.67
23.087,0.968750,427,32.00
23.151,0.971875,428,35.56
23.903,0.975000,429,40.00
25.679,0.978125,431,45.71
26.063,0.981250,432,53.33
26.623,0.984375,434,64.00
26.623,0.985938,434,71.11
27.407,0.987500,435,80.00
28.767,0.989062,436,91.43
28.767,0.990625,436,106.67
29.263,0.992188,437,128.00
29.263,0.992969,437,142.22
33.599,0.993750,438,160.00
33.599,0.994531,438,182.86
33.599,0.995313,438,213.33
34.591,0.996094,439,256.00
34.591,0.996484,439,284.44
34.591,0.996875,439,320.00
34.591,0.997266,439,365.71
34.591,0.997656,439,426.67
129.151,0.998047,440,512.00
129.151,1.000000,440,inf
