Value,Percentile,TotalCount,1/(1-Percentile)
2.769,0.000000,1,1.00
3.977,0.100000,44,1.11
4.435,0.200000,88,1.25
5.111,0.300000,132,1.43
6.755,0.400000,176,1.67
8.111,0.500000,220,2.00
8.583,0.550000,242,2.22
9.111,0.600000,264,2.50
11.831,0.650000,286,2.86
15.887,0.700000,308,3.33
20.511,0.750000,330,4.00
23.951,0.775000,341,4.44
27.183,0.800000,353,5.00
29.727,0.825000,363,5.71
33.471,0.850000,374,6.67
35.327,0.875000,385,8.00
38.335,0.887500,391,8.89
39.903,0.900000,396,10.00
41.183,0.912500,402,11.43
42.303,0.925000,407,13.33
44.639,0.937500,413,16.00
46.815,0.943750,416,17.78
48.223,0.950000,418,20.00
50.495,0.956250,421,22.86
52.895,0.962500,424,26.67
57.151,0.968750,427,32.00
58.463,0.971875,428,35.56
60.159,0.975000,429,40.00
62.591,0.978125,431,45.71
62.975,0.981250,432,53.33
76.415,0.984375,434,64.00
76.415,0.985938,434,71.11
76.735,0.987500,435,80.00
90.175,0.989062,436,91.43
90.175,0.990625,436,106.67
111.103,0.992188,437,128.00
111.103,0.992969,437,142.22
125.375,0.993750,438,160.00
125.375,0.994531,438,182.86
125.375,0.995313,438,213.33
156.799,0.996094,439,256.00
156.799,0.996484,439,284.44
156.799,0.996875,439,320.00
156.799,0.997266,439,365.71
156.799,0.997656,439,426.67
157.055,0.998047,440,512.00
157.055,1.000000,440,inf
