Value,Percentile,TotalCount,1/(1-Percentile)
3.751,0.000000,1,1.00
4.455,0.100000,64,1.11
4.759,0.200000,127,1.25
4.927,0.300000,191,1.43
5.015,0.400000,255,1.67
5.115,0.500000,321,2.00
5.155,0.550000,350,2.22
5.203,0.600000,383,2.50
5.255,0.650000,414,2.86
5.323,0.700000,445,3.33
5.395,0.750000,479,4.00
5.431,0.775000,493,4.44
5.471,0.800000,511,5.00
5.503,0.825000,524,5.71
5.559,0.850000,540,6.67
5.659,0.875000,556,8.00
5.735,0.887500,564,8.89
5.819,0.900000,572,10.00
6.047,0.912500,580,11.43
6.763,0.925000,588,13.33
7.175,0.937500,596,16.00
7.211,0.943750,600,17.78
7.271,0.950000,604,20.00
7.287,0.956250,608,22.86
7.335,0.962500,612,26.67
7.359,0.968750,616,32.00
7.399,0.971875,618,35.56
7.471,0.975000,620,40.00
7.479,0.978125,622,45.71
7.563,0.981250,624,53.33
7.747,0.984375,626,64.00
7.763,0.985938,627,71.11
7.791,0.987500,628,80.00
7.811,0.989062,629,91.43
7.887,0.990625,630,106.67
7.991,0.992188,631,128.00
7.991,0.992969,631,142.22
8.015,0.993750,632,160.00
8.015,0.994531,632,182.86
8.123,0.995313,633,213.33
8.123,0.996094,633,256.00
8.123,0.996484,633,284.44
8.163,0.996875,634,320.00
8.163,0.997266,634,365.71
8.163,0.997656,634,426.67
8.163,0.998047,634,512.00
8.163,0.998242,634,568.89
9.471,0.998437,635,640.00
9.471,1.000000,635,inf
