Value,Percentile,TotalCount,1/(1-Percentile)
3.791,0.000000,1,1.00
4.291,0.100000,64,1.11
4.403,0.200000,127,1.25
4.499,0.300000,192,1.43
4.635,0.400000,257,1.67
4.763,0.500000,318,2.00
4.819,0.550000,352,2.22
4.883,0.600000,381,2.50
4.951,0.650000,414,2.86
5.003,0.700000,445,3.33
5.087,0.750000,477,4.00
5.115,0.775000,494,4.44
5.183,0.800000,508,5.00
5.275,0.825000,525,5.71
5.343,0.850000,541,6.67
5.415,0.875000,556,8.00
5.483,0.887500,564,8.89
5.607,0.900000,572,10.00
5.823,0.912500,580,11.43
6.103,0.925000,588,13.33
6.399,0.937500,596,16.00
6.507,0.943750,600,17.78
6.611,0.950000,604,20.00
6.687,0.956250,609,22.86
6.911,0.962500,613,26.67
6.975,0.968750,616,32.00
6.983,0.971875,618,35.56
7.135,0.975000,620,40.00
7.163,0.978125,622,45.71
7.239,0.981250,624,53.33
7.319,0.984375,626,64.00
7.323,0.985938,627,71.11
7.351,0.987500,628,80.00
7.379,0.989062,629,91.43
7.387,0.990625,630,106.67
7.451,0.992188,631,128.00
7.451,0.992969,631,142.22
7.771,0.993750,632,160.00
7.771,0.994531,632,182.86
7.787,0.995313,633,213.33
7.787,0.996094,633,256.00
7.787,0.996484,633,284.44
8.295,0.996875,634,320.00
8.295,0.997266,634,365.71
8.295,0.997656,634,426.67
8.295,0.998047,634,512.00
8.295,0.998242,634,568.89
8.911,0.998437,635,640.00
8.911,1.000000,635,inf
