Value,Percentile,TotalCount,1/(1-Percentile)
1.888,0.000000,1,1.00
2.767,0.100000,44,1.11
2.981,0.200000,89,1.25
3.881,0.300000,132,1.43
4.575,0.400000,176,1.67
5.235,0.500000,221,2.00
5.355,0.550000,243,2.22
5.523,0.600000,264,2.50
5.755,0.650000,286,2.86
8.319,0.700000,308,3.33
9.615,0.750000,330,4.00
10.247,0.775000,341,4.44
10.663,0.800000,352,5.00
10.991,0.825000,364,5.71
11.559,0.850000,374,6.67
12.175,0.875000,385,8.00
12.951,0.887500,391,8.89
13.863,0.900000,396,10.00
14.783,0.912500,402,11.43
14.943,0.925000,407,13.33
15.527,0.937500,413,16.00
16.943,0.943750,416,17.78
17.327,0.950000,418,20.00
17.647,0.956250,421,22.86
18.063,0.962500,424,26.67
19.439,0.968750,427,32.00
19.551,0.971875,428,35.56
19.695,0.975000,429,40.00
20.815,0.978125,431,45.71
21.007,0.981250,432,53.33
21.903,0.984375,434,64.00
21.903,0.985938,434,71.11
22.031,0.987500,435,80.00
22.207,0.989062,436,91.43
22.207,0.990625,436,106.67
22.815,0.992188,437,128.00
22.815,0.992969,437,142.22
23.263,0.993750,438,160.00
23.263,0.994531,438,182.86
23.263,0.995313,438,213.33
23.759,0.996094,439,256.00
23.759,0.996484,439,284.44
23.759,0.996875,439,320.00
23.759,0.997266,439,365.71
23.759,0.997656,439,426.67
27.375,0.998047,440,512.00
27.375,1.000000,440,inf
