Value,Percentile,TotalCount,1/(1-Percentile)
2.351,0.000000,1,1.00
2.877,0.100000,13,1.11
3.253,0.200000,25,1.25
4.107,0.300000,38,1.43
4.647,0.400000,50,1.67
4.947,0.500000,62,2.00
5.343,0.550000,69,2.22
5.719,0.600000,75,2.50
6.295,0.650000,81,2.86
7.491,0.700000,87,3.33
8.375,0.750000,93,4.00
9.471,0.775000,97,4.44
9.831,0.800000,100,5.00
10.295,0.825000,103,5.71
11.503,0.850000,106,6.67
11.967,0.875000,109,8.00
12.663,0.887500,111,8.89
14.119,0.900000,112,10.00
15.199,0.912500,114,11.43
16.463,0.925000,115,13.33
18.207,0.937500,117,16.00
19.183,0.943750,118,17.78
19.183,0.950000,118,20.00
19.679,0.956250,119,22.86
20.463,0.962500,120,26.67
21.439,0.968750,121,32.00
21.439,0.971875,121,35.56
21.439,0.975000,121,40.00
21.471,0.978125,122,45.71
21.471,0.981250,122,53.33
22.255,0.984375,123,64.00
22.255,0.985938,123,71.11
22.255,0.987500,123,80.00
22.255,0.989062,123,91.43
22.255,0.990625,123,106.67
24.063,0.992188,124,128.00
24.063,1.000000,124,inf
