Value,Percentile,TotalCount,1/(1-Percentile)
2.497,0.000000,1,1.00
2.853,0.100000,44,1.11
3.059,0.200000,88,1.25
4.063,0.300000,132,1.43
5.055,0.400000,177,1.67
5.459,0.500000,220,2.00
5.603,0.550000,242,2.22
5.739,0.600000,266,2.50
6.135,0.650000,286,2.86
8.071,0.700000,308,3.33
9.671,0.750000,331,4.00
10.015,0.775000,341,4.44
10.439,0.800000,352,5.00
11.479,0.825000,363,5.71
11.943,0.850000,374,6.67
12.703,0.875000,385,8.00
13.407,0.887500,391,8.89
13.839,0.900000,396,10.00
14.255,0.912500,402,11.43
14.695,0.925000,407,13.33
15.399,0.937500,413,16.00
16.039,0.943750,416,17.78
16.279,0.950000,418,20.00
16.735,0.956250,421,22.86
17.855,0.962500,424,26.67
19.119,0.968750,427,32.00
19.279,0.971875,428,35.56
19.679,0.975000,429,40.00
20.047,0.978125,431,45.71
20.143,0.981250,432,53.33
21.231,0.984375,434,64.00
21.231,0.985938,434,71.11
21.359,0.987500,435,80.00
22.383,0.989062,436,91.43
22.383,0.990625,436,106.67
22.623,0.992188,437,128.00
22.623,0.992969,437,142.22
23.679,0.993750,438,160.00
23.679,0.994531,438,182.86
23.679,0.995313,438,213.33
24.559,0.996094,439,256.00
24.559,0.996484,439,284.44
24.559,0.996875,439,320.00
24.559,0.997266,439,365.71
24.559,0.997656,439,426.67
24.735,0.998047,440,512.00
24.735,1.000000,440,inf
