Value,Percentile,TotalCount,1/(1-Percentile)
1.592,0.000000,1,1.00
3.339,0.100000,44,1.11
3.633,0.200000,88,1.25
4.915,0.300000,132,1.43
6.011,0.400000,176,1.67
6.731,0.500000,220,2.00
7.075,0.550000,242,2.22
7.379,0.600000,265,2.50
8.123,0.650000,286,2.86
11.575,0.700000,308,3.33
13.215,0.750000,330,4.00
14.111,0.775000,341,4.44
14.647,0.800000,352,5.00
15.527,0.825000,363,5.71
16.375,0.850000,374,6.67
18.031,0.875000,385,8.00
18.559,0.887500,391,8.89
18.767,0.900000,396,10.00
19.503,0.912500,402,11.43
20.095,0.925000,407,13.33
20.847,0.937500,414,16.00
21.311,0.943750,416,17.78
22.095,0.950000,418,20.00
22.959,0.956250,421,22.86
24.431,0.962500,424,26.67
26.703,0.968750,427,32.00
27.455,0.971875,428,35.56
28.095,0.975000,429,40.00
29.087,0.978125,431,45.71
31.311,0.981250,432,53.33
33.311,0.984375,434,64.00
33.311,0.985938,434,71.11
34.143,0.987500,435,80.00
36.127,0.989062,436,91.43
36.127,0.990625,436,106.67
36.863,0.992188,437,128.00
36.863,0.992969,437,142.22
40.831,0.993750,438,160.00
40.831,0.994531,438,182.86
40.831,0.995313,438,213.33
46.175,0.996094,439,256.00
46.175,0.996484,439,284.44
46.175,0.996875,439,320.00
46.175,0.997266,439,365.71
46.175,0.997656,439,426.67
101.567,0.998047,440,512.00
101.567,1.000000,440,inf
