Value,Percentile,TotalCount,1/(1-Percentile)
3.743,0.000000,1,1.00
4.251,0.100000,64,1.11
4.403,0.200000,127,1.25
4.519,0.300000,194,1.43
4.619,0.400000,254,1.67
4.703,0.500000,321,2.00
4.747,0.550000,350,2.22
4.803,0.600000,382,2.50
4.847,0.650000,413,2.86
4.927,0.700000,445,3.33
5.003,0.750000,477,4.00
5.051,0.775000,493,4.44
5.119,0.800000,508,5.00
5.195,0.825000,524,5.71
5.315,0.850000,540,6.67
5.431,0.875000,556,8.00
5.579,0.887500,565,8.89
5.759,0.900000,572,10.00
5.935,0.912500,580,11.43
6.427,0.925000,588,13.33
6.639,0.937500,596,16.00
6.715,0.943750,601,17.78
6.755,0.950000,604,20.00
6.823,0.956250,609,22.86
6.867,0.962500,612,26.67
7.007,0.968750,616,32.00
7.047,0.971875,619,35.56
7.099,0.975000,620,40.00
7.191,0.978125,622,45.71
7.335,0.981250,624,53.33
7.411,0.984375,626,64.00
7.447,0.985938,627,71.11
7.491,0.987500,628,80.00
7.563,0.989062,629,91.43
7.583,0.990625,630,106.67
7.891,0.992188,631,128.00
7.891,0.992969,631,142.22
8.123,0.993750,632,160.00
8.123,0.994531,632,182.86
8.335,0.995313,633,213.33
8.335,0.996094,633,256.00
8.335,0.996484,633,284.44
8.407,0.996875,634,320.00
8.407,0.997266,634,365.71
8.407,0.997656,634,426.67
8.407,0.998047,634,512.00
8.407,0.998242,634,568.89
8.727,0.998437,635,640.00
8.727,1.000000,635,inf
