Value,Percentile,TotalCount,1/(1-Percentile)
1.345,0.000000,1,1.00
3.149,0.100000,44,1.11
3.585,0.200000,88,1.25
4.775,0.300000,132,1.43
5.915,0.400000,176,1.67
6.363,0.500000,220,2.00
6.615,0.550000,242,2.22
6.947,0.600000,265,2.50
7.559,0.650000,286,2.86
11.103,0.700000,308,3.33
12.583,0.750000,330,4.00
13.695,0.775000,341,4.44
14.359,0.800000,352,5.00
15.407,0.825000,363,5.71
15.999,0.850000,374,6.67
17.039,0.875000,386,8.00
18.127,0.887500,391,8.89
18.863,0.900000,396,10.00
19.391,0.912500,402,11.43
19.759,0.925000,407,13.33
20.575,0.937500,413,16.00
21.135,0.943750,416,17.78
21.471,0.950000,418,20.00
22.463,0.956250,421,22.86
23.231,0.962500,424,26.67
24.863,0.968750,427,32.00
26.159,0.971875,428,35.56
26.335,0.975000,429,40.00
26.767,0.978125,431,45.71
27.215,0.981250,432,53.33
29.359,0.984375,434,64.00
29.359,0.985938,434,71.11
29.423,0.987500,435,80.00
29.951,0.989062,436,91.43
29.951,0.990625,436,106.67
30.895,0.992188,437,128.00
30.895,0.992969,437,142.22
30.927,0.993750,438,160.00
30.927,0.994531,438,182.86
30.927,0.995313,438,213.33
35.103,0.996094,439,256.00
35.103,0.996484,439,284.44
35.103,0.996875,439,320.00
35.103,0.997266,439,365.71
35.103,0.997656,439,426.67
54.783,0.998047,440,512.00
54.783,1.000000,440,inf
