,unique-id,social-graph,home-timeline,media,compose-post,user,text,url-shorten,user-mention,user-timeline,post-storage,nginx,service-user-cpu_util,service-user-mem_util,service-user-netio_read,service-user-netio_write,service-user-blkio_read,service-user-blkio_write,service-post-storage-cpu_util,service-post-storage-mem_util,service-post-storage-netio_read,service-post-storage-netio_write,service-post-storage-blkio_read,service-post-storage-blkio_write,service-nginx-cpu_util,service-nginx-mem_util,service-nginx-netio_read,service-nginx-netio_write,service-nginx-blkio_read,service-nginx-blkio_write,service-media-cpu_util,service-media-mem_util,service-media-netio_read,service-media-netio_write,service-media-blkio_read,service-media-blkio_write,service-compose-post-cpu_util,service-compose-post-mem_util,service-compose-post-netio_read,service-compose-post-netio_write,service-compose-post-blkio_read,service-compose-post-blkio_write,service-unique-id-cpu_util,service-unique-id-mem_util,service-unique-id-netio_read,service-unique-id-netio_write,service-unique-id-blkio_read,service-unique-id-blkio_write,service-url-shorten-cpu_util,service-url-shorten-mem_util,service-url-shorten-netio_read,service-url-shorten-netio_write,service-url-shorten-blkio_read,service-url-shorten-blkio_write,service-user-timeline-cpu_util,service-user-timeline-mem_util,service-user-timeline-netio_read,service-user-timeline-netio_write,service-user-timeline-blkio_read,service-user-timeline-blkio_write,service-home-timeline-cpu_util,service-home-timeline-mem_util,service-home-timeline-netio_read,service-home-timeline-netio_write,service-home-timeline-blkio_read,service-home-timeline-blkio_write,service-text-cpu_util,service-text-mem_util,service-text-netio_read,service-text-netio_write,service-text-blkio_read,service-text-blkio_write,service-user-mention-cpu_util,service-user-mention-mem_util,service-user-mention-netio_read,service-user-mention-netio_write,service-user-mention-blkio_read,service-user-mention-blkio_write,service-social-graph-cpu_util,service-social-graph-mem_util,service-social-graph-netio_read,service-social-graph-netio_write,service-social-graph-blkio_read,service-social-graph-blkio_write
10,14,1892,2463,6,11116,21,4534,1397,2067,1725,1076,15588,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
11,14,1666,2325,7,10505,6,4595,1686,2068,1740,1040,14638,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
12,77,10365,14179,29,47741,31,16983,7296,7597,9269,5804,63184,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
13,14,1517,2139,6,10479,27,4375,1506,2044,1757,968,14650,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
14,13,1411,2020,7,8831,7,3537,1245,1656,1388,734,12378,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
15,32,1848,2753,28,11496,6,4371,1247,2123,1752,1099,15158,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
16,14,1588,2222,21,10134,6,3994,1164,1798,1740,1117,13771,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
17,14,1580,2525,27,11324,6,4114,1261,1838,2040,1387,14645,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
18,23,2271,4715,17,25885,11,8238,2035,2547,2473,1355,30141,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
19,17,1682,2339,7,10620,6,4021,1215,1792,1855,1053,15636,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
